iter	Passed	Remaining
247	443	1345
248	445	1344
249	447	1343
250	449	1342
251	451	1341
252	453	1339
253	455	1337
254	457	1336
255	459	1334
256	460	1331
257	462	1329
258	464	1329
259	466	1328
260	468	1326
261	470	1325
262	472	1324
263	474	1322
264	476	1321
265	478	1320
266	480	1319
267	482	1318
268	484	1317
269	486	1316
270	488	1315
271	490	1313
272	492	1312
273	494	1310
274	496	1309
275	499	1309
276	501	1307
277	503	1306
278	505	1305
279	506	1303
280	509	1302
281	511	1301
282	513	1300
283	515	1298
284	517	1297
285	519	1296
286	521	1294
287	522	1292
288	523	1288
289	524	1285
290	525	1281
291	527	1278
292	528	1276
293	531	1275
294	533	1274
295	535	1272
296	537	1271
297	538	1269
298	541	1268
299	543	1267
300	544	1265
301	546	1263
302	548	1261
303	550	1260
304	552	1258
305	554	1257
306	556	1256
307	558	1254
308	559	1251
309	560	1247
310	561	1244
311	562	1241
312	564	1239
313	566	1238
314	568	1237
315	571	1236
316	573	1235
317	575	1234
318	577	1233
319	579	1232
320	581	1230
321	584	1229
322	586	1228
323	588	1227
324	590	1226
325	592	1225
326	594	1223
327	596	1221
328	598	1220
329	600	1219
330	602	1218
331	605	1217
332	607	1216
333	609	1214
334	611	1213
335	613	1211
336	615	1210
337	617	1209
338	619	1207
339	621	1206
340	623	1204
341	624	1202
342	626	1200
343	628	1198
344	630	1196
345	632	1194
346	634	1193
347	635	1191
348	637	1188
349	639	1186
350	640	1184
351	642	1182
352	644	1181
353	646	1179
354	647	1177
355	649	1174
356	650	1171
357	651	1168
358	652	1165
359	653	1161
360	654	1158
361	655	1155
362	656	1152
363	657	1148
364	658	1146
365	659	1142
366	660	1139
367	661	1136
368	663	1133
369	664	1130
370	665	1127
371	666	1124
372	667	1121
373	668	1118
374	668	1114
375	670	1111
376	670	1108
377	671	1105
378	672	1102
379	673	1099
380	674	1096
381	676	1093
382	677	1090
383	678	1087
384	679	1085
385	680	1082
386	681	1078
387	682	1075
388	682	1072
389	684	1069
390	685	1066
391	686	1064
392	686	1060
393	687	1057
394	688	1054
395	689	1052
396	690	1049
397	692	1047
398	694	1045
399	695	1043
400	697	1041
401	699	1039
402	700	1038
403	702	1036
404	704	1034
405	705	1032
406	707	1030
407	708	1028
408	710	1026
409	712	1024
410	714	1023
411	715	1021
412	717	1019
413	719	1017
414	721	1016
415	722	1014
416	724	1012
417	726	1011
418	727	1009
419	729	1006
420	730	1004
421	731	1002
422	733	1000
423	734	997
424	735	995
425	737	993
426	738	990
427	739	988
428	740	985
429	742	983
430	743	981
431	745	980
432	747	979
433	749	977
434	751	976
435	753	975
436	755	973
437	757	972
438	759	970
439	761	969
440	763	967
441	765	966
442	768	965
443	770	964
444	771	962
445	773	961
446	776	960
447	778	958
448	780	957
449	782	956
450	784	955
451	786	953
452	788	951
453	789	949
454	791	948
455	793	946
456	795	945
457	797	943
458	799	942
459	800	940
